Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Quantity,Unit Price,Extended Price
PPTC051LFBN-RC,Sullins Connector Solutions,S6103-ND,Teensy Female Header Short,1,0.47,$0.47 
PPTC141LFBN-RC,Sullins Connector Solutions,S7012-ND,Teensy Female Header  Long,2,0.91,$1.82 
640457-3,TE Connectivity AMP Connectors,A19480-ND,Female Socket 3,3,0.19,$0.57 
640457-4,TE Connectivity AMP Connectors,A1927-ND,Female Socket 4,6,0.25,$1.50 
640457-6,TE Connectivity AMP Connectors,A1928-ND,Female Socket 6,1,0.48,$0.48 
640457-5,TE Connectivity AMP Connectors,A19481-ND,Female Socket 5,1,0.4,$0.40 
RMCF0805ZT0R00,Stackpole Electronics Inc,RMCF0805ZT0R00CT-ND,0805 SMT Jumper,30,0.0132,$0.39 
RC0805FR-0710KL,Yageo,311-10.0KCRCT-ND,0805 SMT 10K Resistor,10,0.039,$0.39 
1374,Adafruit Industries LLC,1528-1782-ND,CapTouch,4,5.95,$23.80 
3258,Adafruit Industries LLC,1528-1786-ND,Panel Mount USB,1,4.95,$4.95 
SEN-12756,SparkFun Electronics,1568-1028-ND,Accelerometer,1,9.95,$9.95 
65801-003LF,Amphenol ICC (FCI),609-2159-ND,ThinPot to female Headers,1,1,$1.00 
TSP-L-0750-203-3%-RH,Spectra Symbol,905-1090-ND,ThinPot,1,40.94,$40.94 
22288040,Molex,WM50013-04-ND,Male R/A Headers 4,4,0.29,$1.16 
22288030,Molex,WM50013-03-ND,Male R/A Headers 3,1,0.23,$0.23 
22288050,Molex,WM50013-05-ND,Male R/A Headers 5,1,0.36,$0.36 
22288060,Molex,WM50013-06-ND,Male R/A Headers 6,1,0.43,$0.43 
4007,Adafruit Industries LLC,1528-2832-ND,Ultrasonic Rangefinder,1,3.95,$3.95 
DEV-13305,SparkFun Electronics,1568-1233-ND,Teensy-LC,1,14.38,$14.38 
3-640440-3,TE Connectivity AMP Connectors,A31081-ND,Male Socket 3,3,0.19,$0.57 
3-640440-4,TE Connectivity AMP Connectors,A31082-ND,Male Socket 4,6,0.27,$1.62 
3-640440-5,TE Connectivity AMP Connectors,A31083-ND,Male Socket 5,1,0.38,$0.38 
3-640440-6,TE Connectivity AMP Connectors,A31084-ND,Male Socket 6,1,0.44,$0.44 
